#Device-IP;TimeStamp;compressedIn;compressedOut;unCompressedIn;unCompressedOut;passthroughintermediatein;passthrough_other_out;passthroughoverloadin;passthroughoverloadout;passthroughpeerin;passthroughpeerout;passthroughpolicyin;passthroughpolicyout;frequency
56.40.82.15;2015-09-15 21:30:00;3280635;5982899;14716782;8921909;368718;1234;-1;-1;0;0;2029398;7567296;hour
56.40.82.15;2015-09-15 22:30:00;15276556;6720067;13198263;19800134;409271;1568;-1;-1;0;0;1634687;5220845;hour
56.40.82.15;2015-09-15 23:30:00;3439760;4174925;16532507;11722982;352946;1536;-1;-1;0;0;3062440;10887671;hour
56.40.82.15;2015-09-16 00:30:00;10933323;5826575;16291003;21394374;360787;1672;-1;-1;0;0;2570904;8070881;hour
56.40.82.15;2015-09-16 01:30:00;3436784;4561184;15077119;9074474;338834;1507;-1;-1;0;0;2469660;9055546;hour
56.40.82.15;2015-09-16 02:30:00;2769912;4379980;14220332;8554714;322228;1478;-1;-1;0;0;2393511;8469284;hour
56.40.82.15;2015-09-16 03:30:00;59233546;11152358;43361986;68568828;1122985;1889;-1;-1;0;0;3422305;22178215;hour
56.40.82.15;2015-09-16 04:30:00;3982440;5519958;87737625;17674308;752248;1407;-1;-1;0;0;7400470;59282133;hour
56.40.82.15;2015-09-16 05:30:00;2778999;4067044;19724771;8912405;505791;1665;-1;-1;0;0;2391621;13926808;hour
56.40.82.15;2015-09-16 06:30:00;1851269;2947547;11203908;5542022;287941;1646;-1;-1;0;0;1416176;7169304;hour
56.40.82.15;2015-09-16 07:30:00;1885888;2825837;8048187;5685503;301285;1883;-1;-1;0;0;1414395;4144198;hour
56.40.82.15;2015-09-16 08:30:00;2434840;2846081;7358790;6150545;307651;1335;-1;-1;0;0;1210545;3408874;hour
56.40.82.15;2015-09-16 09:30:00;2029366;2958564;17571330;6871583;385433;1527;-1;-1;0;0;1440336;8279086;hour
56.40.82.15;2015-09-16 10:30:00;2292132;3555671;23408630;8874917;372777;1466;-1;-1;0;0;1750887;12911027;hour
56.40.82.15;2015-09-16 11:30:00;2256513;3695806;21307004;7463809;448641;1931;-1;-1;0;0;1801345;11777128;hour
56.40.82.15;2015-09-16 12:30:00;6178905;4413350;36028131;14434470;479813;1967;-1;-1;0;0;3116117;28030501;hour
56.40.82.15;2015-09-16 13:30:00;4284709;4352089;23981156;14088146;523170;1741;-1;-1;0;0;2530519;13650084;hour
56.40.82.15;2015-09-16 14:30:00;2481623;4125326;10993219;8520534;611302;1280;-1;-1;0;0;2443553;5345839;hour
56.40.82.15;2015-09-16 15:30:00;3245118;5011353;12162435;8706911;540070;1477;-1;-1;0;0;1815548;6375511;hour
56.40.82.15;2015-09-16 16:30:00;3019075;4869427;15177052;9227204;669123;1470;-1;-1;0;0;2412461;9424733;hour
56.40.82.15;2015-09-16 17:30:00;2917351;4584391;11399979;8825407;574662;1321;-1;-1;0;0;2135491;5989945;hour
56.40.82.15;2015-09-16 18:30:00;3242749;5017062;27082986;10226222;481609;1734;-1;-1;0;0;3091765;21254530;hour
56.40.82.15;2015-09-16 19:30:00;7803590;5607283;31065446;20280368;556179;2242;-1;-1;0;0;3628137;22447108;hour
56.68.32.13;2015-09-15 21:30:00;35007919;29830715;188416617;146196738;5922663;6697;-1;-1;0;0;19722187;104285869;hour
56.68.32.13;2015-09-15 22:30:00;27231982;25987957;387119043;125153538;9739719;6858;-1;-1;0;0;27503190;243260318;hour
56.68.32.13;2015-09-15 23:30:00;40233027;23945331;207425980;128982884;9780175;7436;-1;-1;0;0;21977645;107104719;hour
56.68.32.13;2015-09-16 00:30:00;28140836;23681368;230389641;110639955;10872776;9066;-1;-1;0;0;22255863;135812845;hour
56.68.32.13;2015-09-16 01:30:00;28885988;23615911;239137046;160522326;33365791;10641;-1;-1;0;0;49470031;161138684;hour
56.68.32.13;2015-09-16 02:30:00;31848409;22211084;131204763;128608353;5758409;6262;-1;-1;0;0;18661403;75720893;hour
56.68.32.13;2015-09-16 03:30:00;21566760;21274566;184468452;71509072;7377977;8503;-1;-1;0;0;20061326;108008182;hour
56.68.32.13;2015-09-16 04:30:00;22667766;21095727;108653126;69473959;3535400;4334;-1;-1;0;0;13578379;60935181;hour
56.68.32.13;2015-09-16 05:30:00;21087271;20594320;133675783;72403367;7393000;5112;-1;-1;0;0;16583298;68445193;hour
56.68.32.13;2015-09-16 06:30:00;21066007;20205336;212957458;70899919;4565794;4743;-1;-1;0;0;15269699;127647840;hour
56.68.32.13;2015-09-16 07:30:00;27481091;90887009;270118941;88218366;8098336;6301;-1;-1;0;0;16966409;100787624;hour
56.68.32.13;2015-09-16 08:30:00;21407609;21038524;242841149;85203543;5764939;5034;-1;-1;0;0;17250697;149766060;hour
56.68.32.13;2015-09-16 09:30:00;27247709;142009629;538142427;76983996;7691126;4957;-1;-1;0;0;20922318;270246529;hour
56.68.32.13;2015-09-16 10:30:00;20247668;20314810;232212629;73537418;5984668;4611;-1;-1;0;0;19465585;151676164;hour
56.68.32.13;2015-09-16 11:30:00;20900567;20178856;392277273;78940078;11618023;9591;-1;-1;0;0;21637463;214328442;hour
56.68.32.13;2015-09-16 12:30:00;18934992;18504210;355475861;66150868;5987071;4932;-1;-1;0;0;16278212;214950492;hour
56.68.32.13;2015-09-16 13:30:00;23397545;19392245;133912532;102964422;4767826;5163;-1;-1;0;0;14477942;73607820;hour
56.68.32.13;2015-09-16 14:30:00;21221660;19226956;345479900;112388368;14099135;9896;-1;-1;0;0;25604597;187478285;hour
56.68.32.13;2015-09-16 15:30:00;22054367;20536683;170349436;96286048;3252316;4827;-1;-1;0;0;16837628;98850333;hour
56.68.32.13;2015-09-16 16:30:00;23916376;23034420;176571780;83532173;2770608;5309;-1;-1;0;0;18484570;99184544;hour
56.68.32.13;2015-09-16 17:30:00;32008698;64622923;302272319;157939223;28911375;7003;-1;-1;0;0;45658765;158309331;hour
56.68.32.13;2015-09-16 18:30:00;28327725;24069964;194199788;98378322;8460870;8520;-1;-1;0;0;23743119;112717245;hour
56.68.32.13;2015-09-16 19:30:00;47972538;26173763;230176630;150939176;11870612;8443;-1;-1;0;0;24454720;126430581;hour
56.72.172.12;2015-09-15 21:30:00;4325446;4143724;84254578;29536370;4723170;4069;-1;-1;0;0;9485089;48028481;hour
56.72.172.12;2015-09-15 22:30:00;2328061;2815802;32895970;15204698;1953976;2349;-1;-1;0;0;6572316;22164003;hour
56.72.172.12;2015-09-15 23:30:00;42891677;5299046;133283881;78601771;4081571;4717;-1;-1;0;0;13477794;84967633;hour
56.72.172.12;2015-09-16 00:30:00;5033968;3357604;135710477;53160975;3204947;3283;-1;-1;0;0;10889600;92955277;hour
56.72.172.12;2015-09-16 01:30:00;3054782;3203767;37598195;18761704;2289805;2816;-1;-1;0;0;6925188;22572690;hour
