#TYPE;TAG;INSTANCE NAME;APPLICATION_MEASUREMENT_NAME;APPLICATION_GROUP;SERVICE_ID;CUSTOMER;WAE_IP
OAM;APP_56.250.37.250_WAFS;APP WAFS WAE 0363640069-PHNXAZ-XOC-WAAS-2;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.250.37.250
OAM;APP_56.200.2.8_Other;APP Other WAE 1824160032-DSMNIA-ATT-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.200.2.8
OAM;APP_56.38.204.4_Enterprise-Applications;APP Enterprise-Applications WAE 3558319998-NYRKNY-XOC-WAAS-1;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.38.204.4
OAM;APP_56.56.34.4_Version-Management;APP Version-Management WAE 9936583-NCSTDE-VZB-WAAS;Version-Management;APP_GP_56.207.245.4_Version-Management;SERVICE_56.207.245.4;;56.56.34.4
OAM;APP_56.185.52.7_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 1017679-MCLNTX-XOC-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.185.52.7
OAM;APP_56.182.29.11_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 4802250201-AMRLTX-XOC-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.182.29.11
OAM;APP_56.38.204.6_Remote-Desktop;APP Remote-Desktop WAE 3558319998-NYRKNY-XOC-WAAS-3;Remote-Desktop;APP_GP_56.207.245.4_Remote-Desktop;SERVICE_56.207.245.4;;56.38.204.6
OAM;APP_56.107.41.11_CIFS;APP CIFS WAE 4746320902-KNXVTN-ATT-WAAS;CIFS;APP_GP_56.207.245.4_CIFS;SERVICE_56.207.245.4;;56.107.41.11
OAM;APP_56.35.120.80_SSH;APP SSH WAE 1568792-WDSDNY-VZB-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.35.120.80
OAM;APP_56.119.178.10_Remote-Desktop;APP Remote-Desktop WAE 5411816-HLYWFL-XOC-WAAS;Remote-Desktop;APP_GP_56.207.245.4_Remote-Desktop;SERVICE_56.207.245.4;;56.119.178.10
OAM;APP_56.129.131.8_WAFS;APP WAFS WAE 4166050098-PSBRPA-XOC-WAAS-2;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.129.131.8
